"","LOCATION","TIME","HEALTHEXP_PC_GDP","HEALTHEXP_USD_CAP","INFANTMORTALITY","LIFEEXP"
"1","AUS",1970,NA,NA,17.9,70.8
"2","AUS",1971,4.544,223.368,17.3,71.6
"3","AUS",1972,4.544,238.929,16.7,72
"4","AUS",1973,4.507,263.759,16.5,72.1
"5","AUS",1974,5.109,321.966,16.1,71.9
"6","AUS",1975,5.757,401.388,14.3,72.7
"7","AUS",1976,5.773,429.564,13.8,72.8
"8","AUS",1977,6.073,472.36,12.5,73.4
"9","AUS",1978,5.935,510.131,12.2,73.7
"10","AUS",1979,5.824,554.135,11.4,74.3
"11","AUS",1980,5.824,615.024,10.7,74.6
"12","AUS",1981,5.834,696.554,10,74.9
"13","AUS",1982,6.101,731.025,10.3,74.7
"14","AUS",1983,6.044,772.572,9.6,75.5
"15","AUS",1984,6.016,816.356,9.2,75.8
"16","AUS",1985,6.067,880.083,9.9,75.6
"17","AUS",1986,6.264,940.026,8.8,76.1
"18","AUS",1987,6.099,980.637,8.7,76.3
"19","AUS",1988,6.054,1038.675,8.7,76.3
"20","AUS",1989,6.107,1090.225,8,76.5
"21","AUS",1990,6.465,1153.055,8.2,77
"22","AUS",1991,6.759,1228.511,7.1,77.4
"23","AUS",1992,6.822,1307.019,7,77.5
"24","AUS",1993,6.835,1380.613,6.1,78
"25","AUS",1994,6.867,1470.797,5.9,78
"26","AUS",1995,6.908,1554.72,5.7,77.9
"27","AUS",1996,7.049,1645.072,5.8,78.2
"28","AUS",1997,7.073,1730.913,5.3,78.5
"29","AUS",1998,7.234,1858.292,5,78.7
"30","AUS",1999,7.327,1986.493,5.7,79
"31","AUS",2000,7.603,2156.869,5.2,79.3
"32","AUS",2001,7.696,2271.496,5.3,79.7
"33","AUS",2002,7.887,2426.479,5,80
"34","AUS",2003,7.894,2546.119,4.8,80.3
"35","AUS",2004,8.105,2745.832,4.7,80.6
"36","AUS",2005,7.974,2842.132,4.9,80.9
"37","AUS",2006,7.983,3023.279,4.7,81.1
"38","AUS",2007,8.057,3196.405,4.1,81.4
"39","AUS",2008,8.262,3310.171,4.1,81.5
"40","AUS",2009,8.588,3564.306,4.2,81.6
"41","AUS",2010,8.468,3607.461,4.1,81.8
"42","AUS",2011,8.586,3794.087,3.8,82
"43","AUS",2012,8.726,3807.682,3.3,82.1
"44","AUS",2013,8.806,4185.822,3.6,82.2
"45","AUS",2014,9.079,4288.764,3.4,82.4
"46","AUS",2015,9.445,4492.554,3.2,82.5
"47","AUS",2016,9.59,4708.09,NA,NA
"48","AUT",1970,4.85,185.39,25.9,70
"49","AUT",1971,4.781,200.96,26.1,70.2
"50","AUT",1972,4.777,221.183,25.2,70.6
"51","AUT",1973,4.869,247.965,23.8,71.1
"52","AUT",1974,5.098,293.602,23.5,71.1
"53","AUT",1975,6.522,410.018,20.5,71.2
"54","AUT",1976,6.756,469.377,18.2,71.7
"55","AUT",1977,6.697,519.053,16.8,72
"56","AUT",1978,6.965,576.963,15,72.1
"57","AUT",1979,6.94,656.815,14.7,72.4
"58","AUT",1980,7.039,738.835,14.3,72.6
"59","AUT",1981,6.039,690.224,12.6,72.9
"60","AUT",1982,6.014,744.161,12.8,73.1
"61","AUT",1983,5.846,775.625,11.9,73.1
"62","AUT",1984,5.893,810.025,11.4,73.7
"63","AUT",1985,6.022,875.2,11.2,73.9
"64","AUT",1986,6.13,929.131,10.3,74.4
"65","AUT",1987,6.42,1010.884,9.8,74.9
"66","AUT",1988,6.412,1077.871,8.1,75.3
"67","AUT",1989,6.556,1184.003,8.3,75.4
"68","AUT",1990,7.737,1500.451,7.8,75.7
